Año,Periodo,Operador de red,Nivel,CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),COT,"Cfm,j ($/fact.)"
2024,Abril,CELSIA - Valle del Cauca,Nivel 1  (Propiedad Cliente),748.93,349.91,54.27,184.85,84.36,67.23,8.31,52.73,15.742
2024,Abril,CELSIA - Valle del Cauca,NIVEL II,680.5,349.91,54.27,151.61,87.68,28.71,8.31,56.05,15.742
2024,Abril,CELSIA - Valle del Cauca,NIVEL III,578.85,349.91,54.27,87.79,54.03,24.54,8.31,22.4,15.742
2024,Abril,CELSIA - Tolima,Nivel 1 ( Propiedad OR ),910.03,310.57,54.27,266.13,186.84,85.53,6.7,0,9.832
2024,Abril,CELSIA - Tolima,Nivel 1 (Propiedad Compartida),858.79,310.57,54.27,214.89,186.84,85.53,6.7,0,9.832
2024,Abril,CELSIA - Tolima,Nivel 1  (Propiedad Cliente),807.54,310.57,54.27,163.64,186.84,85.53,6.7,0,9.832
2024,Abril,CELSIA - Tolima,NIVEL II,670.45,310.57,54.27,164.65,96.57,37.69,6.7,0,9.832
2024,Abril,CELSIA - Tolima,NIVEL III,607.91,310.57,54.27,111.39,96.57,28.41,6.7,0,9.832
2024,Abril,EMCALI - Cali,Nivel 1 ( Propiedad OR ),762.11,347.38,54.27,254.7,25.59,71.86,8.31,0,8.818
2024,Abril,EMCALI - Cali,Nivel 1 (Propiedad Compartida),746.35,347.38,54.27,238.94,25.59,71.86,8.31,0,8.818
2024,Abril,EMCALI - Cali,Nivel 1  (Propiedad Cliente),730.59,347.38,54.27,223.18,25.59,71.86,8.31,0,8.818
2024,Abril,EMCALI - Cali,NIVEL II,618.06,347.38,54.27,151.61,25.59,30.89,8.31,0,8.818
2024,Abril,EMCALI - Cali,NIVEL III,551.5,347.38,54.27,87.79,25.59,28.17,8.31,0,8.818
2024,Mayo,ENEL Bogotá - Cundinamarca,Nivel 1 ( Propiedad OR ),864.28,391.41,47.96,257.12,57.26,73.38,37.14,31.89,9.64
2024,Mayo,ENEL Bogotá - Cundinamarca,Nivel 1 (Propiedad Compartida),841.89,391.41,47.96,234.73,57.26,73.38,37.14,31.89,9.64
2024,Mayo,ENEL Bogotá - Cundinamarca,Nivel 1  (Propiedad Cliente),819.5,391.41,47.96,212.34,57.26,73.38,37.14,31.89,9.64
2024,Mayo,ENEL Bogotá - Cundinamarca,NIVEL II,738.16,391.41,47.96,161.31,76.29,24.04,37.14,50.92,9.64
2024,Mayo,ENEL Bogotá - Cundinamarca,NIVEL III,664.51,391.41,47.96,111.37,53.15,23.46,37.14,27.78,9.64
